Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Red,13-20,14,0,1,golgi integral membrane protein 4,protein-coding,Animal
Green,13-20,14,0,X5,"abhydrolase domain containing 17B, depalmitoylase",protein-coding,Animal
Red,13-20,13,1,2,sodium/glucose cotransporter 1-like,protein-coding,Animal
Yellow,13-20,14,1,3,ribosomal RNA processing 12 homolog,protein-coding,Animal
Red,21-28,22,1,13,threonine synthase like 1,protein-coding,Animal
Yellow,13-20,16,1,8,zinc finger and BTB domain containing 46,protein-coding,Animal
Yellow,13-20,14,1,6,"ERCC excision repair 6 like, spindle assembly checkpoint helicase",protein-coding,Animal
Red,21-28,23,1,21,mutL homolog 1,protein-coding,Animal
Red,13-20,17,1,X4,non-SMC condensin I complex subunit D2,protein-coding,Animal
Yellow,21-28,26,1,14,histidine ammonia-lyase,protein-coding,Animal
Red,21-28,26,1,-,vomeronasal 1 receptor ornAnaV1R-ps4112 pseudogene,pseudo,Animal
Yellow,21-28,27,1,3,membrane spanning 4-domains A1,protein-coding,Animal
Red,13-20,16,1,8,prefoldin subunit 4,protein-coding,Animal
Yellow,13-20,16,1,2,syntaxin 7,protein-coding,Animal
Red,21-28,27,1,1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,protein-coding,Animal
Red,13-20,18,1,13,proteasome activator subunit 2,protein-coding,Animal
Yellow,13-20,20,1,3,protein phosphatase 3 catalytic subunit beta,protein-coding,Animal
Red,13-20,17,1,3,neural EGFL like 1,protein-coding,Animal
Red,21-28,27,1,2,acidic residue methyltransferase 1,protein-coding,Animal
Yellow,21-28,27,0,4,kinesin family member 14,protein-coding,Animal
Yellow,13-20,13,1,5,carbonic anhydrase 6,protein-coding,Animal
Yellow,13-20,19,0,7,zinc finger protein 521,protein-coding,Animal
Red,13-20,17,1,10,disco interacting protein 2 homolog B,protein-coding,Animal
Yellow,13-20,20,1,19,signal induced proliferation associated 1 like 2,protein-coding,Animal
Green,05-Dec,11,1,15,vomeronasal 1 receptor ornAnaV1R-ps3798 pseudogene,pseudo,Animal
Yellow,21-28,21,1,5,calmodulin binding transcription activator 1,protein-coding,Animal
Yellow,21-28,28,1,1,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",protein-coding,Animal
Yellow,13-20,16,1,15,vomeronasal 1 receptor ornAnaV1R3235,protein-coding,Animal
Red,13-20,19,1,4,cystathionine gamma-lyase,protein-coding,Animal
Red,13-20,19,1,1,transient receptor potential cation channel subfamily V member 6-like,protein-coding,Animal
Yellow,13-20,15,1,X5,zinc finger AN1-type containing 5,protein-coding,Animal
Green,21-28,23,1,2,TAFA chemokine like family member 2,protein-coding,Animal
Yellow,13-20,20,1,13,YME1 like 1 ATPase,protein-coding,Animal
Yellow,13-20,17,1,11,glutamate ionotropic receptor kainate type subunit 4,protein-coding,Animal
Yellow,13-20,19,1,5,ankyrin repeat and SOCS box containing 7,protein-coding,Animal
Red,21-28,28,0,19,"FYN proto-oncogene, Src family tyrosine kinase",protein-coding,Animal
Yellow,13-20,18,1,8,zinc finger CCCH-type and G-patch domain containing,protein-coding,Animal
Yellow,05-Dec,11,0,1,procollagen C-endopeptidase enhancer 2,protein-coding,Animal
Yellow,21-28,21,0,11,nuclear factor related to kappaB binding protein,protein-coding,Animal
Yellow,13-20,20,1,14,NADH:ubiquinone oxidoreductase subunit A12,protein-coding,Animal
Yellow,13-20,16,1,-,vomeronasal 1 receptor ornAnaV1R3280,protein-coding,Animal
Yellow,21-28,26,1,6,transcription initiation factor TFIID subunit 7-like,protein-coding,Animal
Red,13-20,13,1,13,CD36 molecule,protein-coding,Animal
Red,21-28,25,1,8,cerebellin 4 precursor,protein-coding,Animal
Yellow,13-20,15,1,11,SHC binding and spindle associated 1,protein-coding,Animal
Red,05-Dec,10,1,2,trace amine-associated receptor 3,protein-coding,Animal
Green,13-20,13,1,19,PR/SET domain 1,protein-coding,Animal
Red,21-28,25,1,2,mediator complex subunit 21,protein-coding,Animal
Red,21-28,28,1,4,stomatin,protein-coding,Animal
Yellow,13-20,13,1,1,visinin like 1,protein-coding,Animal
Yellow,21-28,28,1,1,retinol dehydrogenase 14 pseudogene,pseudo,Animal
Red,21-28,22,1,2,anaphase promoting complex subunit 7,protein-coding,Animal
Yellow,13-20,13,1,2,ADAM metallopeptidase with thrombospondin type 1 motif 20,protein-coding,Animal
Yellow,13-20,19,0,4,cytochrome b-c1 complex subunit 7,protein-coding,Animal
Red,21-28,28,1,5,"solute carrier family 2, facilitated glucose transporter member 5-like",protein-coding,Animal
Green,21-28,21,1,7,rhomboid domain containing 1,protein-coding,Animal
Yellow,13-20,15,1,X4,triosephosphate isomerase 1,protein-coding,Animal
Yellow,13-20,16,1,X2,surfeit locus protein 4-like,protein-coding,Animal
Yellow,13-20,20,1,5,ring finger protein 186,protein-coding,Animal
Red,13-20,20,0,14,"lin-7 homolog A, crumbs cell polarity complex component",protein-coding,Animal
Red,13-20,14,1,1,G protein subunit beta 4,protein-coding,Animal
Yellow,21-28,26,1,15,vomeronasal 1 receptor ornAnaV1R3236,protein-coding,Animal
Yellow,21-28,26,1,4,ankyrin repeat domain 13C,protein-coding,Animal
Red,13-20,15,1,X5,annexin A1,protein-coding,Animal
Yellow,21-28,22,0,3,phosphoglycerate mutase 1,protein-coding,Animal
Yellow,13-20,14,1,13,"RAB18, member RAS oncogene family",protein-coding,Animal
Green,21-28,25,0,8,ADP ribosylation factor related protein 1,protein-coding,Animal
Yellow,13-20,17,1,X2,prefoldin subunit 1,protein-coding,Animal
Red,21-28,22,1,5,ribosomal modification protein rimK like family member A,protein-coding,Animal
Red,05-Dec,10,0,6,Krueppel-like factor 5,protein-coding,Animal
Red,21-28,23,1,14,centrosomal protein 83,protein-coding,Animal
Yellow,21-28,27,1,-,vomeronasal 1 receptor ornAnaV1R-ps4114 pseudogene,pseudo,Animal
Red,13-20,13,0,X1,KN motif and ankyrin repeat domains 3,protein-coding,Animal
Yellow,21-28,28,1,6,olfactory receptor 13H1-like,protein-coding,Animal
Yellow,21-28,27,1,13,guanine nucleotide-binding protein G(t) subunit alpha-3,protein-coding,Animal
Red,21-28,25,0,10,ANTXR cell adhesion molecule 2,protein-coding,Animal
Yellow,13-20,14,1,8,transcription factor AP-2 gamma,protein-coding,Animal
Red,21-28,26,1,2,trace amine-associated receptor 2,protein-coding,Animal
Yellow,13-20,19,1,19,SIM bHLH transcription factor 1,protein-coding,Animal
Red,05-Dec,12,1,X1,cleavage and polyadenylation specific factor 3,protein-coding,Animal
Yellow,13-20,19,1,5,biliverdin reductase B,protein-coding,Animal
Red,13-20,17,1,3,annexin A7,protein-coding,Animal
Yellow,21-28,26,1,X1,gamma-aminobutyric acid type A receptor subunit gamma2,protein-coding,Animal
Green,21-28,23,1,X1,solute carrier family 7 member 6,protein-coding,Animal
Yellow,21-28,28,1,1,nicotinamide nucleotide adenylyltransferase 3,protein-coding,Animal
Yellow,05-Dec,12,1,1,BCL2 like 11,protein-coding,Animal
Yellow,21-28,23,1,1,E2F transcription factor 6,protein-coding,Animal
Yellow,21-28,24,1,X2,glutamine-fructose-6-phosphate transaminase 2,protein-coding,Animal
Red,21-28,27,1,2,trinucleotide repeat containing adaptor 6A,protein-coding,Animal
Red,21-28,28,1,2,required for meiotic nuclear division 1 homolog,protein-coding,Animal
Red,21-28,23,1,4,contactin associated protein 2,protein-coding,Animal
Yellow,13-20,16,1,4,phosphatidylserine synthase 1,protein-coding,Animal
Red,05-Dec,5,1,5,solute carrier family 18 member A1,protein-coding,Animal
Yellow,21-28,22,1,X5,methylphosphate capping enzyme,protein-coding,Animal
Yellow,21-28,25,1,2,F-box protein 21,protein-coding,Animal
Yellow,21-28,21,1,5,phospholipase A2 group IIE,protein-coding,Animal
Yellow,13-20,15,0,5,lens intrinsic membrane protein 2,protein-coding,Animal
Yellow,21-28,21,1,14,acyl-CoA synthetase short chain family member 3,protein-coding,Animal
Yellow,13-20,16,0,1,mitofusin 1,protein-coding,Animal
Red,13-20,15,1,14,"ALG12 alpha-1,6-mannosyltransferase",protein-coding,Animal
Red,21-28,27,1,1,serpin family I member 1,protein-coding,Animal
Yellow,13-20,13,1,X5,cell migration inducing hyaluronidase 2,protein-coding,Animal
Green,13-20,17,1,2,kelch like family member 1,protein-coding,Animal
Green,21-28,27,1,13,Rho GTPase activating protein 12,protein-coding,Animal
Red,13-20,19,0,5,lines homolog 1,protein-coding,Animal
Green,05-Dec,11,1,X1,WD repeat domain 6,protein-coding,Animal
Red,13-20,14,1,8,glucocorticoid modulatory element binding protein 2,protein-coding,Animal
Yellow,21-28,23,1,21,tetratricopeptide repeat and ankyrin repeat containing 1,protein-coding,Animal
Red,21-28,28,0,14,CASP2 and RIPK1 domain containing adaptor with death domain,protein-coding,Animal
Red,21-28,25,1,-,vomeronasal 1 receptor ornAnaV1R-ps4115 pseudogene,pseudo,Animal
Red,13-20,19,1,6,transcription initiation factor TFIID subunit 7-like,protein-coding,Animal
Red,21-28,27,0,13,transmembrane protein 60,protein-coding,Animal
Red,21-28,26,1,9,family with sequence similarity 228 member B,protein-coding,Animal
Red,13-20,17,0,8,SPO11 initiator of meiotic double stranded breaks,protein-coding,Animal
Yellow,21-28,25,1,2,serum/glucocorticoid regulated kinase 1,protein-coding,Animal
Green,13-20,17,0,19,mannosidase endo-alpha,protein-coding,Animal
Green,13-20,17,1,1,dystonin,protein-coding,Animal
Red,21-28,25,1,X4,epithelial membrane protein 1,protein-coding,Animal
Red,21-28,24,0,6,interleukin 13 receptor subunit alpha 1,protein-coding,Animal
Yellow,21-28,27,1,1,eukaryotic translation elongation factor 1 alpha 1,protein-coding,Animal
Red,21-28,23,1,3,cilia and flagella associated protein 70,protein-coding,Animal
Green,21-28,23,1,X1,solute carrier family 7 member 6 opposite strand,protein-coding,Animal
Red,05-Dec,8,1,2,actin related protein 2/3 complex subunit 3,protein-coding,Animal
Yellow,21-28,26,1,2,AT-rich interaction domain 1B,protein-coding,Animal
Yellow,21-28,21,0,3,peptidylprolyl isomerase F,protein-coding,Animal
Green,21-28,28,1,4,dopamine beta-hydroxylase,protein-coding,Animal
Yellow,21-28,24,1,4,zinc finger protein 281,protein-coding,Animal
Red,13-20,20,1,5,ATPase H+ transporting V1 subunit B2,protein-coding,Animal
Yellow,13-20,18,1,X1,A-kinase anchoring protein 8 like,protein-coding,Animal
Yellow,13-20,20,1,X3,melanocortin 4 receptor,protein-coding,Animal
Green,21-28,24,1,-,vomeronasal 1 receptor ornAnaV1R-ps3156 pseudogene,pseudo,Animal
Red,21-28,26,0,2,AE binding protein 2,protein-coding,Animal
Yellow,21-28,22,1,1,potassium calcium-activated channel subfamily M regulatory beta subunit 3,protein-coding,Animal
Yellow,21-28,26,1,15,vomeronasal 1 receptor ornAnaV1R3237,protein-coding,Animal
Yellow,21-28,26,1,4,serine and arginine rich splicing factor 11,protein-coding,Animal
Red,13-20,19,1,1,thyroid stimulating hormone receptor,protein-coding,Animal
Red,21-28,23,0,3,exosome component 1,protein-coding,Animal
Yellow,21-28,28,1,12,solute carrier family 39 member 8,protein-coding,Animal
Red,21-28,26,1,13,enhancer of polycomb homolog 1,protein-coding,Animal
Yellow,13-20,20,0,11,Rho guanine nucleotide exchange factor 12,protein-coding,Animal
Yellow,13-20,19,1,18,ATPase phospholipid transporting 10A (putative),protein-coding,Animal
Red,21-28,28,1,8,myosin light chain 9,protein-coding,Animal
Green,21-28,21,1,11,"ETS proto-oncogene 1, transcription factor",protein-coding,Animal
Yellow,21-28,25,0,5,zinc finger MYND-type containing 12,protein-coding,Animal
Yellow,21-28,23,0,14,nudix hydrolase 4,protein-coding,Animal
Yellow,13-20,19,0,-,vomeronasal 1 receptor ornAnaV1R-ps4116 pseudogene,pseudo,Animal
Red,13-20,20,1,6,olfactory receptor 13H1-like,protein-coding,Animal
Red,21-28,22,1,13,leucine rich repeat containing 17,protein-coding,Animal
Red,21-28,22,1,8,ribonucleic acid export 1,protein-coding,Animal
Green,21-28,28,1,19,EPH receptor A7,protein-coding,Animal
Red,21-28,25,1,15,jade family PHD finger 3,protein-coding,Animal
Green,13-20,18,1,X1,DLG associated protein 2,protein-coding,Animal
Green,05-Dec,9,0,X5,solute carrier family 1 member 1,protein-coding,Animal
Yellow,21-28,27,1,1,Rho associated coiled-coil containing protein kinase 2,protein-coding,Animal
Yellow,13-20,19,0,3,family with sequence similarity 221 member B,protein-coding,Animal
Yellow,13-20,16,1,3,zinc finger MIZ-type containing 1,protein-coding,Animal
Yellow,21-28,27,1,4,cullin 1,protein-coding,Animal
Red,05-Dec,10,0,4,sarcosine dehydrogenase,protein-coding,Animal
Yellow,13-20,19,1,4,syndecan 2,protein-coding,Animal
Red,05-Dec,7,1,7,collagen type IV alpha 4 chain,protein-coding,Animal
Red,21-28,26,0,X3,centrosomal protein 72,protein-coding,Animal
Yellow,13-20,13,1,10,"keratin, type II cytoskeletal 3-like",protein-coding,Animal
Yellow,13-20,20,1,X3,leukocyte elastase inhibitor-like,protein-coding,Animal
Red,21-28,26,1,15,vomeronasal 1 receptor ornAnaV1R3238,protein-coding,Animal
Yellow,21-28,25,1,4,leucine rich repeat containing 40,protein-coding,Animal
Yellow,13-20,13,1,1,stonin 2,protein-coding,Animal
Green,21-28,22,1,X5,chromosome X5 C9orf85 homolog,protein-coding,Animal
Yellow,13-20,15,1,Un,NEDD8 activating enzyme E1 subunit 1,protein-coding,Animal
Yellow,21-28,27,1,13,integrin subunit beta 1,protein-coding,Animal
Yellow,13-20,14,1,8,DLG associated protein 4,protein-coding,Animal
Yellow,13-20,15,1,1,progestin and adipoQ receptor family member 9,protein-coding,Animal
Red,21-28,27,0,14,epiphycan,protein-coding,Animal
Green,13-20,20,1,9,spermatogenesis associated serine rich 1,protein-coding,Animal
Red,21-28,22,1,8,phosphoenolpyruvate carboxykinase 1,protein-coding,Animal
Yellow,13-20,15,1,7,"RB binding protein 8, endonuclease",protein-coding,Animal
Green,21-28,21,1,X1,store-operated calcium entry regulator STIMATE,protein-coding,Animal
Red,13-20,15,1,15,regucalcin,protein-coding,Animal
Green,21-28,21,1,X1,Rho guanine nucleotide exchange factor 10,protein-coding,Animal
Yellow,13-20,19,1,X1,solute carrier family 6 member 11,protein-coding,Animal
Green,21-28,27,1,X5,protein prenyltransferase alpha subunit repeat containing 1,protein-coding,Animal
Yellow,05-Dec,12,1,1,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,Animal
Yellow,21-28,23,1,1,solute carrier family 66 member 3,protein-coding,Animal
Yellow,13-20,18,1,1,DEAD-box helicase 1,protein-coding,Animal
Yellow,13-20,13,1,2,VPS29 retromer complex component,protein-coding,Animal
Yellow,21-28,28,1,3,solute carrier family 6 member 5,protein-coding,Animal
Yellow,13-20,18,1,3,transcriptional enhancer factor TEF-1,protein-coding,Animal
Yellow,13-20,14,1,4,carboxypeptidase Q,protein-coding,Animal
Yellow,21-28,25,0,4,nuclear receptor subfamily 5 group A member 2,protein-coding,Animal
Yellow,21-28,22,1,5,splA/ryanodine receptor domain and SOCS box containing 1,protein-coding,Animal
Green,13-20,16,1,8,vomeronasal 1 receptor ornAnaV1R-ps3003 pseudogene,pseudo,Animal
Yellow,21-28,22,0,X3,tubulin polymerization promoting protein,protein-coding,Animal
Yellow,21-28,26,1,5,F-box protein 44,protein-coding,Animal
Red,13-20,18,1,3,phosphatidylinositol specific phospholipase C X domain containing 3,protein-coding,Animal
Yellow,13-20,16,1,X5,olfactory receptor 10K2-like,protein-coding,Animal
Yellow,13-20,15,0,X3,leukocyte elastase inhibitor-like,protein-coding,Animal
Red,21-28,23,1,14,carnitine palmitoyltransferase 1B,protein-coding,Animal
Red,13-20,20,1,15,vomeronasal 1 receptor ornAnaV1R3239,protein-coding,Animal
Yellow,13-20,19,1,14,zinc finger BED-type containing 4,protein-coding,Animal
Yellow,21-28,26,1,1,programmed cell death 10,protein-coding,Animal
Yellow,13-20,16,1,1,fetuin-B,protein-coding,Animal
Yellow,13-20,13,1,13,cullin 2,protein-coding,Animal
Yellow,05-Dec,9,1,7,solute carrier family 6 member 17,protein-coding,Animal
Yellow,21-28,26,1,X1,"prolyl 4-hydroxylase, transmembrane",protein-coding,Animal
Red,21-28,28,1,8,Ral GTPase activating protein non-catalytic subunit beta,protein-coding,Animal
Yellow,21-28,23,0,21,doublecortin like kinase 3,protein-coding,Animal
Yellow,21-28,21,1,14,ATPase plasma membrane Ca2+ transporting 1,protein-coding,Animal
Yellow,13-20,13,1,8,"prostate transmembrane protein, androgen induced 1",protein-coding,Animal
Yellow,13-20,15,1,2,mitochondrial ribosomal protein S9,protein-coding,Animal
Yellow,13-20,17,1,X1,protein arginine methyltransferase 7,protein-coding,Animal
Red,21-28,23,1,1,chromosome 1 C2orf50 homolog,protein-coding,Animal
Green,13-20,20,1,1,"SPHK1 interactor, AKAP domain containing",protein-coding,Animal
Yellow,21-28,22,1,12,glycine receptor alpha 3,protein-coding,Animal
Red,21-28,23,1,X2,CCR4-NOT transcription complex subunit 6,protein-coding,Animal
Yellow,21-28,27,0,8,vomeronasal 1 receptor ornAnaV1R-ps3004 pseudogene,pseudo,Animal
Yellow,13-20,17,1,7,DENN domain containing 2C,protein-coding,Animal
Red,21-28,22,1,X1,leukocyte cell derived chemotaxin 2,protein-coding,Animal
Yellow,05-Dec,8,1,X3,serpin B6-like,protein-coding,Animal
Red,21-28,24,0,8,vomeronasal 1 receptor ornAnaV1R-ps3744 pseudogene,pseudo,Animal
Yellow,13-20,14,1,X1,translin associated factor X interacting protein 1,protein-coding,Animal
Yellow,21-28,21,1,15,vomeronasal 1 receptor ornAnaV1R-ps4024 pseudogene,pseudo,Animal
Red,21-28,22,1,4,leucine rich repeat containing 7,protein-coding,Animal
Yellow,21-28,22,0,1,SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,protein-coding,Animal
Green,21-28,23,1,1,alpha 2-HS glycoprotein,protein-coding,Animal
Yellow,13-20,15,1,13,WD repeat domain 37,protein-coding,Animal
Red,13-20,13,1,18,gamma-aminobutyric acid type A receptor subunit beta3,protein-coding,Animal
Red,13-20,15,1,7,potassium voltage-gated channel subfamily C member 4,protein-coding,Animal
Yellow,13-20,19,0,19,cellular communication network factor 6,protein-coding,Animal
Green,13-20,18,1,8,cadherin 4,protein-coding,Animal
Red,13-20,14,0,2,branched chain amino acid transaminase 1,protein-coding,Animal
Red,21-28,25,1,1,U2 snRNP associated SURP domain containing,protein-coding,Animal
Yellow,13-20,16,0,5,phosphopantothenate--cysteine ligase,protein-coding,Animal
Red,21-28,24,1,14,transmembrane O-mannosyltransferase targeting cadherins 3,protein-coding,Animal
Yellow,21-28,25,1,12,TRAF interacting protein with forkhead associated domain,protein-coding,Animal
Yellow,05-Dec,5,1,Un,vomeronasal 1 receptor ornAnaV1R3281,protein-coding,Animal
Yellow,21-28,26,1,4,pyruvate dehyrogenase phosphatase catalytic subunit 1,protein-coding,Animal
Green,21-28,22,1,8,ATP synthase F1 subunit epsilon,protein-coding,Animal
Red,21-28,26,1,2,erythrocyte membrane protein band 4.1 like 2,protein-coding,Animal
Yellow,13-20,16,1,4,G protein-coupled receptor kinase 4,protein-coding,Animal
Red,21-28,26,1,1,churchill domain containing 1,protein-coding,Animal
Red,13-20,13,1,X1,gamma-aminobutyric acid type A receptor subunit alpha6,protein-coding,Animal
Yellow,13-20,19,1,X1,ATPase plasma membrane Ca2+ transporting 2,protein-coding,Animal
Yellow,13-20,17,1,X5,amyloid beta precursor protein binding family A member 1,protein-coding,Animal
Red,05-Dec,12,1,1,pleckstrin homology and coiled-coil domain containing D1,protein-coding,Animal
Red,13-20,14,1,1,protein disulfide isomerase family A member 6,protein-coding,Animal
Yellow,13-20,14,0,X2,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein-coding,Animal
Yellow,13-20,20,1,3,protein arginine methyltransferase 3,protein-coding,Animal
